Number,Style,Category,OGMin,OGMax,FGMin, FGMax,ABVMin,ABVMax,IBUMin, IBUMax,SRMMin, SRMMax
1A,Lite American Lager,Light Lager,1.028,1.04,0.998,1.008,2.8,4.2,8,12,2,3
1B,Standard American Lager,Light Lager,1.04,1.05,1.004,1.01,4.2,5.3,8,15,2,4
1C,Premium American Lager,Light Lager,1.046,1.056,1.008,1.012,4.6,6,15,25,2,6
1D,Munich Helles,Light Lager,1.045,1.051,1.008,1.012,4.7,5.4,16,22,3,5
1E,Dortmunder Export,Light Lager,1.048,1.056,1.01,1.015,4.8,6,23,30,4,6
2A,German Pilsner (Pils),Pilsner,1.044,1.05,1.008,1.013,4.4,5.2,25,45,2,5
2B,Bohemian Pilsener,Pilsner,1.044,1.056,1.013,1.017,4.2,5.4,35,45,3.5,6
2C,Classic American Pilsner,Pilsner,1.044,1.06,1.01,1.015,4.5,6,25,40,3,6
3A,Vienna Lager,European Amber Lager,1.046,1.052,1.01,1.014,4.5,5.5,18,30,10,16
3B,Oktoberfest/Marzen,European Amber Lager,1.05,1.057,1.012,1.016,4.8,5.7,20,28,7,14
4A,Dark American Lager,Dark Lager,1.044,1.056,1.008,1.012,4.2,6,8,20,14,22
4B,Munich Dunkel,Dark Lager,1.048,1.056,1.01,1.016,4.5,5.6,18,28,14,28
4C,Schwarzbier,Dark Lager,1.046,1.052,1.01,1.016,4.4,5.4,22,32,17,30
5A,Maibock/Helles Bock,Bock,1.064,1.072,1.011,1.018,6.3,7.4,23,35,6,11
5B,Traditional Bock,Bock,1.064,1.072,1.013,1.019,6.3,7.2,20,27,14,22
5C,Doppelbock,Bock,1.072,1.0112,1.016,1.024,7,10,16,26,6,25
5D,Eisbock,Bock,1.078,1.012,1.02,1.035,9,14,25,35,18,30
6A,Cream Ale,Light Hybrid Lager,1.042,1.055,1.006,1.012,4.2,5.6,15,20,2.5,5
6B,Blonde Ale,Light Hybrid Lager,1.038,1.054,1.008,1.013,3.8,5.5,15,28,3,6
6C,Kolsch,Light Hybrid Lager,1.044,1.05,1.007,1.011,4.4,5.2,20,30,3.5,5
6D,American Wheat or Rye Beer,Light Hybrid Lager,1.04,1.055,1.008,1.013,4,5.5,15,30,3,6
7A,North German Altbier,Amber Hybrid Lager,1.046,1.054,1.01,1.015,4.5,5.2,25,40,13,19
7B,California Common Beer,Amber Hybrid Lager,1.048,1.054,1.011,1.014,4.5,5.5,30,45,10,14
7C,Dusseldorf Altbier,Amber Hybrid Lager,1.046,1.054,1.01,1.015,4.5,5.2,35,50,11,17
8A,Standard/Ordinary Bitter,English Pale Ale,1.032,1.04,1.007,1.011,3.2,3.8,25,35,4,14
8B,Special/Best/Premium Bitter,English Pale Ale,1.04,1.048,1.008,1.012,3.8,4.6,25,40,5,16
8C,Extra Special/Strong Bitter (English Pale Ale),English Pale Ale,1.048,1.06,1.01,1.016,4.6,6.2,30,50,6,18
9A,Scottish Light 60/-,Scottish and Irish Ale,1.03,1.035,1.01,1.013,2.5,3.2,10,20,9,17
9B,Scottish Heavy 70/-,Scottish and Irish Ale,1.035,1.04,1.01,1.015,3.2,3.9,10,25,9,17
9C,Scottish Export 80/-,Scottish and Irish Ale,1.04,1.054,1.01,1.016,3.9,5,15,30,9,17
9D,Irish Red Ale,Scottish and Irish Ale,1.044,1.06,1.01,1.014,4,6,17,28,9,18
9E,Strong Scotch Ale,Scottish and Irish Ale,1.07,1.013,1.018,1.056,6.5,10,17,35,14,25
10A,American Pale Ale,American Ale,1.045,1.06,1.01,1.015,4.5,6,30,45,5,14
10B,American Amber Ale,American Ale,1.045,1.06,1.01,1.015,4.5,6,25,40,10,17
10C,American Brown Ale,American Ale,1.045,1.06,1.01,1.016,4.3,6.2,20,40,18,35
11A,Mild,English Brown Ale,1.03,1.038,1.008,1.013,2.8,4.5,10,25,12,25
11B,Southern English Brown Ale,English Brown Ale,1.033,1.042,1.011,1.014,2.8,4.1,12,20,19,35
11C,Northern English Brown Ale,English Brown Ale,1.04,1.052,1.008,1.013,4.2,5.4,20,30,12,22
12A,Brown Porter,Porter,1.04,1.052,1.008,1.014,4,5.4,18,35,20,30
12B,Robust Porter,Porter,1.048,1.065,1.012,1.016,4.8,6.5,25,50,22,35
12C,Baltic Porter,Porter,1.06,1.09,1.016,1.024,5.5,9.5,20,40,17,30
13A,Dry Stout,Stout,1.036,1.05,1.007,1.011,4,5,30,45,25,40
13B,Sweet Stout,Stout,1.044,1.06,1.012,1.024,4,6,20,40,30,40
13C,Oatmeal Stout,Stout,1.048,1.065,1.01,1.018,4.2,5.9,25,40,22,40
13D,Foreign Extra Stout,Stout,1.056,1.075,1.01,1.018,5.5,8,30,70,30,40
13E,American Stout,Stout,1.05,1.075,1.01,1.022,5,7,35,75,30,40
